infection,continent,duration_in_years,est_total_deaths,population,deaths_per_million
COVID19,Africa,2,230874.0,1373486472.0,168.09339204034038
COVID19,Asia,2,1268110.0,4678444992.0,271.05373733546725
COVID19,North America,2,1236086.0,596581283.0,2071.949012185151
COVID19,South America,2,1194529.0,434260137.0,2750.722201333437
COVID19,Oceania,2,4663.0,43219954.0,107.8899806325569
COVID19,Europe,2,1554351.0,748962983.0,2075.3375470894266
COVID19,World,2,5488628.0,7874965730.0,696.9716679643252
SPANISH FLU,Africa,2,2500000.0,130000000.0,19230.76923076923
SPANISH FLU,Asia,2,36000000.0,nan,nan
SPANISH FLU,North America,2,1600000.0,115600000.0,13840.83044982699
SPANISH FLU,South America,2,nan,89980000.0,nan
SPANISH FLU,Oceania,2,nan,nan,nan
SPANISH FLU,Europe,2,2640000.0,488350000.0,5405.9588409951875
SPANISH FLU,World,2,50000000.0,1860000000.0,26881.720430107525
HIV,Africa,41,nan,1216000000.0,nan
HIV,Asia,41,nan,4561000000.0,nan
HIV,North America,41,nan,579000000.0,nan
HIV,South America,41,nan,422500000.0,nan
HIV,Oceania,41,nan,43513816.0,nan
HIV,Europe,41,nan,748331114.0,nan
HIV,World,41,36300000.0,7753000000.0,4682.058557977557
BUBONIC PLAGUE,Africa,5,12500000.0,nan,nan
BUBONIC PLAGUE,Asia,5,12500000.0,nan,nan
BUBONIC PLAGUE,North America,5,nan,nan,nan
BUBONIC PLAGUE,South America,5,nan,nan,nan
BUBONIC PLAGUE,Oceania,5,nan,nan,nan
BUBONIC PLAGUE,Europe,5,25000000.0,625000.0,40000000.0
BUBONIC PLAGUE,World,5,137500000.0,475000000.0,289473.6842105263
