infection,continent,duration_in_years,est_total_deaths,population
COVID19,Africa,2,230874.0,2
COVID19,Asia,2,1268110.0,2
COVID19,North America,2,1236086.0,2
COVID19,South America,2,1194529.0,2
COVID19,Oceania,2,4663.0,2
COVID19,Europe,2,1554351.0,2
COVID19,European Union,2,917141.0,2
COVID19,World,2,5488628.0,2
SPFLU,Africa,2,2500000,2
SPFLU,Asia,2,36000000,2
SPFLU,North America,2,1600000,2
SPFLU,South America,2,nan,2
SPFLU,Oceania,2,nan,2
SPFLU,Europe,2,2640000,2
SPFLU,World,2,50000000,2
HIV,Africa,41,nan,2
HIV,Asia,41,nan,2
HIV,North America,41,nan,2
HIV,South America,41,nan,2
HIV,Oceania,41,nan,2
HIV,Europe,41,nan,2
HIV,European Union,41,nan,2
HIV,World,41,36300000,2
HKF,Africa,1,nan,2
HKF,Asia,1,nan,2
HKF,North America,1,nan,2
HKF,South America,1,nan,2
HKF,Oceania,1,nan,2
HKF,Europe,1,nan,2
HKF,European Union,1,nan,2
HKF,World,1,1000000,2
BBP,Africa,5,12500000,2
BBP,Asia,5,12500000,2
BBP,North America,5,nan,2
BBP,South America,5,nan,2
BBP,Oceania,5,nan,2
BBP,Europe,5,25000000,625000
BBP,European Union,5,nan,2
BBP,World,5,137500000,2



